enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
8949,103,0.92,1,1,1,3,1,20,0,0,1,36,1.0
29725,40,0.7759999999999999,1,2,1,3,1,15,1,1,5,47,0.0
666,162,0.767,1,1,1,4,1,20,1,2,4,8,0.0
28806,160,0.92,1,1,1,2,0,5,1,2,1,24,0.0
402,46,0.762,1,1,1,3,1,13,1,1,5,18,1.0
27107,103,0.92,1,1,1,3,1,7,1,1,1,46,1.0
23853,103,0.92,1,1,1,3,1,5,3,1,1,108,0.0
25619,61,0.913,1,1,1,3,1,20,3,1,3,23,0.0
5826,21,0.624,1,2,0,0,0,2,0,0,6,24,0.0
6588,114,0.926,1,1,1,3,1,16,1,1,5,18,0.0
11399,13,0.8270000000000001,2,1,1,3,2,4,0,0,1,132,1.0
31972,159,0.843,1,1,1,4,1,11,2,1,1,68,0.0
19061,114,0.926,1,1,1,4,1,11,2,1,2,50,0.0
7041,40,0.7759999999999999,1,1,1,3,3,1,3,1,1,65,0.0
28476,103,0.92,1,1,1,3,2,5,0,0,2,72,0.0
21538,100,0.887,1,1,1,2,0,11,1,1,1,8,1.0
10408,21,0.624,1,1,1,3,1,18,1,2,2,68,1.0
14928,103,0.92,1,1,1,3,1,20,2,1,3,40,0.0
22293,103,0.92,1,1,2,3,1,19,3,1,5,141,0.0
4324,103,0.92,2,2,3,3,1,5,0,0,1,24,0.0
26966,160,0.92,2,1,1,3,1,20,2,1,5,82,0.0
26494,16,0.91,1,1,1,3,4,12,3,1,3,145,0.0
4866,103,0.92,1,1,1,3,1,10,1,3,2,206,0.0
12726,114,0.926,1,2,2,2,0,1,3,4,1,152,0.0
10164,114,0.926,1,1,1,5,1,20,2,1,4,42,1.0
24659,71,0.884,1,2,1,0,0,3,0,0,6,106,0.0
2547,114,0.926,2,1,3,4,1,16,3,5,2,14,0.0
13854,104,0.924,1,1,1,2,0,4,1,1,2,36,0.0
5590,21,0.624,1,1,2,4,1,9,3,1,3,7,1.0
22452,21,0.624,2,2,3,4,1,5,0,0,6,26,1.0
9006,21,0.624,1,1,1,3,1,5,2,1,6,87,1.0
25987,103,0.92,3,1,1,3,1,19,3,5,4,52,1.0
4476,101,0.5579999999999999,1,1,1,3,5,15,0,0,5,20,1.0
25103,83,0.923,1,1,1,3,1,11,1,1,1,21,0.0
5568,101,0.5579999999999999,1,2,1,3,1,4,0,0,1,92,1.0
2195,64,0.6659999999999999,1,1,1,3,1,10,2,1,2,102,0.0
30533,105,0.794,1,2,1,3,3,5,3,1,5,26,0.0
1023,114,0.926,1,2,3,2,0,4,3,1,1,43,0.0
12253,104,0.924,1,1,1,3,1,20,2,1,1,45,0.0
25296,73,0.754,1,1,3,3,1,2,1,3,2,52,0.0
13238,103,0.92,1,1,1,3,1,20,0,0,2,19,0.0
18578,162,0.767,1,1,1,3,3,20,2,1,5,26,1.0
29975,67,0.855,1,1,2,3,1,6,0,0,1,90,0.0
26516,75,0.939,1,1,1,3,1,6,2,1,3,25,0.0
8433,100,0.887,1,1,1,4,3,20,2,1,5,48,0.0
5878,93,0.865,1,1,1,3,1,10,1,1,2,142,1.0
25695,67,0.855,3,2,1,4,3,4,3,1,4,13,0.0
9645,16,0.91,1,1,1,3,1,15,0,0,5,47,0.0
12730,16,0.91,2,1,1,4,3,14,2,5,1,28,0.0
20970,64,0.6659999999999999,1,1,1,3,1,20,0,0,4,22,0.0
17271,21,0.624,1,2,3,3,1,1,0,0,6,18,1.0
12731,13,0.8270000000000001,1,1,1,3,1,2,1,1,1,29,0.0
10908,67,0.855,1,1,1,4,1,5,2,0,1,46,0.0
22683,36,0.893,1,1,1,4,1,5,1,1,2,65,0.0
22134,103,0.92,1,2,1,3,3,3,2,1,1,35,0.0
31765,67,0.855,1,2,3,3,1,9,3,1,3,14,0.0
31449,103,0.92,2,1,1,4,1,2,1,3,1,4,0.0
5987,103,0.92,1,1,1,3,1,15,1,1,5,12,0.0
21762,160,0.92,1,1,1,3,1,20,1,1,2,108,0.0
22070,103,0.92,1,2,1,3,1,20,0,0,1,136,0.0
25413,103,0.92,1,1,1,3,1,5,1,0,1,27,0.0
28403,71,0.884,1,1,1,3,1,15,1,3,1,86,0.0
30937,57,0.866,2,2,2,3,1,1,1,1,2,83,0.0
29290,152,0.698,1,2,3,4,1,11,0,5,2,42,0.0
32401,103,0.92,2,1,1,3,1,6,2,0,1,332,0.0
19128,61,0.913,1,2,3,3,1,4,0,0,0,140,0.0
29036,16,0.91,1,2,1,2,0,3,0,0,6,182,0.0
16869,103,0.92,2,2,1,3,3,3,2,1,1,13,1.0
12081,65,0.802,1,1,3,3,1,9,1,1,1,33,0.0
7016,65,0.802,1,1,1,3,1,6,1,1,2,14,1.0
8695,11,0.55,1,1,1,3,1,6,1,1,2,27,1.0
6172,11,0.55,1,1,1,3,1,8,2,1,1,24,1.0
18257,103,0.92,2,1,1,3,1,11,2,6,5,20,0.0
1180,16,0.91,1,1,1,3,1,12,3,1,1,52,0.0
28627,75,0.939,1,1,1,3,1,20,1,1,2,160,0.0
8168,136,0.897,1,1,1,4,1,9,3,1,2,3,0.0
10473,21,0.624,1,1,1,3,1,2,1,1,2,2,1.0
25349,16,0.91,1,1,1,3,1,20,3,1,5,28,0.0
5220,73,0.754,1,1,1,3,6,20,0,0,4,46,0.0
4789,67,0.855,1,1,1,3,1,8,1,1,1,210,0.0
11338,114,0.926,1,1,1,3,1,10,1,1,1,36,0.0
27963,98,0.949,1,2,3,3,1,4,0,0,1,160,1.0
8571,21,0.624,1,1,3,3,1,2,1,6,2,101,0.0
16303,114,0.926,1,1,1,4,1,6,1,0,1,46,0.0
20576,97,0.925,1,1,1,3,1,20,3,1,5,19,0.0
32966,21,0.624,1,1,1,3,1,3,2,1,2,26,1.0
18819,50,0.8959999999999999,1,1,1,3,1,9,1,1,4,59,0.0
14199,160,0.92,1,1,2,3,4,10,1,2,1,260,0.0
7666,21,0.624,2,1,1,3,1,11,1,1,5,74,0.0
13915,16,0.91,1,1,1,5,1,20,2,1,2,20,1.0
10555,173,0.878,1,1,1,3,1,12,2,1,2,8,0.0
16040,103,0.92,1,1,1,3,1,6,2,1,1,131,0.0
